team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
2009 Minnesota Timberwolves,241.5,82.5,0.441,18.8,0.353,63.7,0.467,23.9,0.769,11.9,29.8,20.4,6.2,3.9,14.2,21.8,97.8,25.4,24.0,58.0,-4.91,0.18,-4.74,106.1,111.4,-5.3,91.6,0.289,0.227,0.526,0.481,13.3,27.7,0.222,0.515,12.0,75.0,0.254,0,0,0,0,-1
2009 Philadelphia 76ers,240.9,79.7,0.459,13.1,0.318,66.6,0.486,27.0,0.745,12.7,28.5,20.1,8.0,5.1,14.1,20.1,97.4,26.1,41.0,41.0,0.07,0.09,0.16,107.9,107.8,0.1,90.0,0.339,0.164,0.532,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,0,0,0,0,0
2009 Oklahoma City Thunder,241.5,81.9,0.447,11.6,0.346,70.3,0.463,25.2,0.786,12.2,30.5,20.3,7.4,4.5,16.2,20.2,97.0,24.5,23.0,59.0,-6.1,0.06,-6.04,102.9,109.4,-6.5,93.6,0.308,0.141,0.521,0.471,14.8,28.6,0.242,0.514,13.0,73.9,0.216,0,0,0,0,-1
2009 San Antonio Spurs,242.7,79.7,0.466,19.8,0.386,59.9,0.492,20.0,0.761,8.9,32.2,21.2,5.8,4.0,11.7,18.9,97.0,30.4,54.0,28.0,3.76,-0.4,3.36,108.5,104.3,4.2,88.4,0.251,0.248,0.548,0.513,11.7,22.1,0.191,0.487,11.7,78.0,0.191,0,0,0,0,0
2009 Washington Wizards,240.3,81.2,0.45,14.6,0.33,66.5,0.476,23.8,0.767,11.7,28.4,20.0,7.5,4.5,14.0,20.5,96.1,26.9,19.0,63.0,-7.46,0.48,-6.98,105.4,113.6,-8.2,91.0,0.293,0.18,0.524,0.48,13.2,27.7,0.224,0.533,13.3,71.4,0.227,0,0,0,0,-1
2009 New Orleans Hornets,240.9,77.6,0.457,18.6,0.364,59.0,0.487,22.4,0.807,9.8,29.9,19.6,7.2,4.1,12.5,20.3,95.8,28.2,49.0,33.0,1.55,-0.14,1.41,108.7,107.0,1.7,87.8,0.288,0.24,0.548,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,0,0,0,0,0
2009 Los Angeles Clippers,242.4,81.7,0.441,18.5,0.354,63.2,0.467,22.4,0.736,10.9,29.0,21.0,7.0,5.9,14.9,20.1,95.1,26.6,19.0,63.0,-8.77,0.3,-8.47,102.3,111.7,-9.4,92.1,0.275,0.226,0.52,0.481,14.0,25.1,0.202,0.512,12.4,71.2,0.227,0,0,0,0,-1
2009 Detroit Pistons,242.7,80.0,0.454,13.2,0.349,66.8,0.475,22.5,0.751,11.6,29.9,20.6,6.0,4.6,11.9,20.9,94.2,28.2,39.0,43.0,-0.49,0.13,-0.36,107.4,108.0,-0.6,86.7,0.282,0.165,0.524,0.483,11.7,27.9,0.212,0.485,11.7,74.0,0.248,0,0,0,0,0
2009 Memphis Grizzlies,241.5,77.0,0.454,13.5,0.36,63.5,0.474,25.3,0.756,10.3,28.5,17.4,7.5,4.7,15.3,21.7,93.9,23.3,24.0,58.0,-5.46,0.24,-5.23,103.5,109.5,-6.0,90.1,0.329,0.175,0.533,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247,0,0,0,0,-1
2009 Charlotte Bobcats,243.0,76.8,0.455,16.3,0.366,60.5,0.479,24.0,0.74,10.8,28.9,21.2,7.1,4.8,15.6,21.4,93.6,25.8,35.0,47.0,-1.27,0.07,-1.2,104.7,106.1,-1.4,88.3,0.312,0.213,0.536,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,0,0,0,0,-1
2010 Phoenix Suns,240.6,82.8,0.492,21.6,0.412,61.2,0.52,25.8,0.77,11.1,31.9,23.3,5.8,5.1,14.8,20.9,110.2,28.5,54.0,28.0,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,0,0,0,0,2
2010 Golden State Warriors,240.6,86.5,0.469,20.6,0.375,65.9,0.499,25.4,0.782,9.2,29.2,22.4,9.3,4.1,14.7,23.0,108.8,25.1,26.0,56.0,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0,0,0,-1
2010 Denver Nuggets,241.2,81.4,0.468,18.5,0.359,62.9,0.5,30.6,0.772,10.8,30.5,21.0,8.3,5.1,13.9,22.5,106.5,27.7,53.0,29.0,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,0,0,0,0,0
