team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
1984 Denver Nuggets,241.5,97.4,0.493,3.1,0.302,94.2,0.499,32.8,0.818,13.8,29.8,30.3,8.7,4.3,16.4,27.8,123.7,27.0,38.0,44.0,-1.1,-0.17,-1.27,111.3,112.3,-1.0,110.5,0.337,0.032,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277,0,0,0,0,0
1984 San Antonio Spurs,243.7,94.2,0.506,3.2,0.3,91.0,0.514,31.8,0.755,15.0,30.8,28.8,8.4,6.0,17.6,26.2,120.3,27.4,37.0,45.0,-0.27,-0.23,-0.5,111.2,111.4,-0.2,106.5,0.337,0.034,0.556,0.511,14.0,33.4,0.255,0.508,13.7,66.2,0.233,0,0,0,0,-1
1984 Detroit Pistons,242.7,96.5,0.48,1.7,0.227,94.7,0.485,31.1,0.775,17.4,29.7,27.5,8.5,5.1,16.0,26.5,117.1,25.4,49.0,33.0,3.59,-0.06,3.52,111.5,108.1,3.4,103.8,0.322,0.018,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263,0,0,0,0,0
1984 Los Angeles Lakers,241.2,88.4,0.532,2.8,0.257,85.7,0.54,27.7,0.754,13.4,30.5,29.9,8.9,5.8,19.2,25.0,115.6,27.5,54.0,28.0,3.76,-0.44,3.32,110.9,107.3,3.6,103.7,0.313,0.031,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232,0,0,0,0,3
1984 Utah Jazz,241.2,88.3,0.498,3.9,0.319,84.5,0.506,33.0,0.781,13.4,30.8,27.2,8.5,7.4,18.4,24.1,115.0,26.9,45.0,37.0,1.13,-0.32,0.81,109.0,108.0,1.0,104.9,0.374,0.044,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229,0,0,0,1,1
1984 Portland Trail Blazers,241.5,87.7,0.505,1.6,0.194,86.1,0.511,32.2,0.754,15.3,26.8,25.4,9.9,4.8,18.1,26.0,113.1,25.8,48.0,34.0,3.55,-0.42,3.13,111.2,107.7,3.5,101.1,0.367,0.018,0.556,0.507,15.1,36.4,0.277,0.518,17.0,67.4,0.259,0,0,0,0,0
1984 Boston Celtics,243.4,88.2,0.5,2.8,0.24,85.4,0.508,29.4,0.792,14.1,31.0,25.9,8.2,5.2,17.3,23.8,112.1,28.0,62.0,20.0,6.56,-0.14,6.42,110.9,104.4,6.5,99.7,0.333,0.032,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225,1,0,1,0,4
1984 Phoenix Suns,241.2,88.0,0.509,3.5,0.254,84.5,0.52,26.9,0.759,13.0,28.0,27.0,8.5,4.7,17.7,26.2,111.0,27.2,41.0,41.0,0.89,-0.24,0.65,108.9,108.0,0.9,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277,0,0,0,0,2
1984 San Diego Clippers,240.6,89.3,0.496,1.6,0.188,87.8,0.502,29.6,0.736,15.9,29.0,24.2,6.9,4.7,18.5,24.6,110.7,25.5,30.0,52.0,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236,0,0,0,0,-1
1984 Houston Rockets,240.9,91.9,0.495,1.9,0.195,90.0,0.501,26.1,0.74,14.6,30.3,26.9,7.6,6.3,19.0,28.3,110.6,26.8,29.0,53.0,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285,0,0,0,0,-1
1984 Dallas Mavericks,243.4,88.2,0.5,2.2,0.228,86.0,0.507,28.7,0.755,13.3,27.6,26.4,7.1,4.4,15.9,23.2,110.4,24.7,43.0,39.0,0.43,-0.27,0.15,110.0,109.6,0.4,99.0,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232,0,0,0,0,1
1984 Kansas City Kings,240.9,88.2,0.486,2.3,0.275,85.9,0.492,30.4,0.777,14.0,27.7,27.2,8.7,4.7,18.3,26.8,110.0,26.2,38.0,44.0,-1.48,-0.15,-1.62,106.5,108.0,-1.5,102.9,0.345,0.026,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266,0,0,0,0,0
1984 New Jersey Nets,241.5,88.5,0.498,2.8,0.211,85.7,0.507,30.3,0.7,14.9,28.2,26.2,9.9,6.1,19.6,27.4,110.0,25.5,45.0,37.0,1.1,0.17,1.27,106.1,105.0,1.1,103.0,0.343,0.032,0.54,0.501,16.1,34.6,0.24,0.494,17.0,67.8,0.292,0,0,0,0,1
1984 Golden State Warriors,241.8,91.9,0.467,2.8,0.243,89.1,0.474,31.4,0.743,17.0,26.5,22.4,10.1,4.2,18.5,25.7,109.9,25.6,37.0,45.0,-3.4,0.05,-3.35,105.5,108.8,-3.3,103.3,0.342,0.03,0.52,0.471,14.9,35.6,0.254,0.519,17.0,64.2,0.25,0,0,0,0,-1
1984 Seattle SuperSonics,241.2,86.4,0.488,1.7,0.193,84.7,0.494,30.0,0.78,13.0,28.4,27.2,7.8,4.3,16.6,23.0,108.1,27.1,42.0,40.0,-0.17,-0.17,-0.34,107.9,108.1,-0.2,99.7,0.347,0.02,0.543,0.49,14.3,30.7,0.271,0.492,13.8,66.6,0.226,0,0,0,0,0
1984 Philadelphia 76ers,243.4,83.3,0.495,1.3,0.271,82.0,0.499,33.0,0.754,14.4,29.0,24.8,9.8,8.0,19.9,24.9,107.8,27.7,52.0,30.0,2.2,0.2,2.39,106.8,104.6,2.2,99.6,0.396,0.016,0.551,0.497,16.9,34.6,0.299,0.484,16.0,65.9,0.246,0,0,0,0,0
1984 New York Knicks,242.1,83.4,0.495,2.0,0.285,81.4,0.5,30.6,0.775,13.3,27.2,24.9,9.8,4.4,19.4,27.8,106.9,27.2,47.0,35.0,3.84,-0.05,3.79,107.0,103.1,3.9,99.0,0.367,0.024,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281,0,0,0,0,1
1984 Milwaukee Bucks,242.7,85.0,0.492,2.8,0.254,82.2,0.501,28.7,0.74,13.8,29.1,25.8,7.8,6.0,17.3,26.4,105.7,28.4,50.0,32.0,4.16,-0.12,4.04,107.8,103.6,4.2,96.9,0.338,0.033,0.541,0.497,15.0,33.7,0.25,0.459,14.7,65.6,0.266,0,1,0,0,2
1984 Indiana Pacers,241.2,87.0,0.483,2.5,0.232,84.4,0.491,25.8,0.766,12.2,29.2,26.5,10.2,4.9,18.6,25.1,104.5,24.4,26.0,56.0,-4.82,0.57,-4.25,101.8,106.5,-4.7,102.1,0.297,0.029,0.531,0.487,15.9,28.1,0.228,0.497,16.2,66.8,0.255,0,0,0,0,-1
1984 Chicago Bulls,243.7,85.0,0.474,1.4,0.171,83.6,0.479,30.6,0.746,13.9,28.0,25.5,8.4,5.5,19.2,26.8,103.7,24.4,27.0,55.0,-5.18,0.5,-4.69,102.4,107.5,-5.1,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266,0,0,0,0,-1
1984 Washington Bullets,242.7,84.2,0.484,3.4,0.252,80.8,0.494,26.8,0.756,12.5,29.1,26.7,6.8,3.9,17.7,24.3,102.7,26.2,35.0,47.0,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.319,0.041,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239,0,0,0,0,0
1984 Cleveland Cavaliers,242.1,88.2,0.465,2.0,0.262,86.2,0.47,26.6,0.743,14.8,29.1,23.5,7.7,4.6,16.2,26.9,102.3,25.4,28.0,54.0,-4.26,0.55,-3.71,104.1,108.5,-4.4,97.4,0.301,0.023,0.512,0.468,14.0,33.5,0.224,0.49,13.2,70.8,0.28,0,0,0,0,-1
1984 Atlanta Hawks,242.1,83.0,0.474,1.3,0.217,81.7,0.478,29.4,0.761,13.6,27.2,22.3,7.6,6.8,16.2,25.5,101.5,26.6,40.0,42.0,-1.29,0.22,-1.08,105.5,106.9,-1.4,95.3,0.355,0.016,0.529,0.476,14.4,31.6,0.27,0.482,15.1,65.2,0.268,0,0,0,0,0
1985 Denver Nuggets,241.8,97.3,0.486,2.9,0.311,94.4,0.491,31.3,0.785,16.2,28.1,27.6,10.9,5.2,16.9,26.2,120.0,28.3,52.0,30.0,2.44,-0.39,2.05,110.7,108.4,2.3,107.6,0.322,0.029,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275,0,0,0,0,2
1985 Los Angeles Lakers,240.9,88.5,0.545,3.6,0.305,84.9,0.555,27.2,0.763,13.0,31.1,31.4,8.5,5.9,18.7,23.5,118.2,27.4,62.0,20.0,7.35,-0.87,6.48,114.1,107.0,7.1,103.2,0.308,0.041,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,0,0,0,0,4
1985 Detroit Pistons,241.8,97.5,0.48,2.4,0.226,95.1,0.487,27.6,0.788,17.1,30.9,28.1,8.4,4.8,16.4,25.3,116.0,26.9,46.0,36.0,2.49,0.24,2.73,109.6,107.2,2.4,105.0,0.283,0.025,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245,0,0,0,0,1
1985 Portland Trail Blazers,242.4,89.9,0.503,2.5,0.252,87.5,0.51,32.5,0.751,14.7,28.0,27.1,10.0,6.3,18.1,23.9,115.5,25.2,42.0,40.0,3.4,-0.6,2.8,110.4,107.1,3.3,103.6,0.362,0.027,0.554,0.506,14.8,33.9,0.271,0.497,15.9,64.5,0.232,0,0,0,0,1
1985 Boston Celtics,240.3,89.3,0.508,3.8,0.356,85.6,0.515,28.1,0.806,13.6,32.1,27.9,7.9,5.0,16.2,21.7,114.8,28.5,63.0,19.0,6.65,-0.18,6.47,112.8,106.3,6.5,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198,1,0,1,0,3
1985 San Antonio Spurs,241.2,87.8,0.513,2.5,0.272,85.4,0.52,31.4,0.763,13.7,30.1,28.2,9.2,5.4,18.8,26.6,114.8,28.1,41.0,41.0,0.91,-0.29,0.63,109.9,109.0,0.9,103.9,0.357,0.028,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.269,0,0,0,0,0
1985 Kansas City Kings,240.9,88.7,0.504,2.9,0.265,85.8,0.512,31.6,0.779,14.2,28.4,28.6,8.1,3.7,19.4,26.5,114.8,26.1,31.0,51.0,-2.67,-0.04,-2.71,109.5,112.1,-2.6,104.4,0.357,0.033,0.559,0.508,15.9,34.0,0.278,0.514,14.2,66.6,0.262,0,0,0,0,-1
1985 Philadelphia 76ers,241.5,85.3,0.492,2.7,0.263,82.5,0.5,35.2,0.803,15.9,28.8,24.4,10.0,6.5,19.2,24.0,112.9,27.9,58.0,24.0,4.1,0.07,4.17,111.3,107.3,4.0,100.8,0.412,0.032,0.561,0.497,16.0,37.4,0.331,0.494,15.7,66.6,0.259,0,0,0,0,2
1985 Houston Rockets,241.8,90.7,0.504,2.3,0.22,88.5,0.511,27.6,0.699,16.2,29.2,27.3,8.3,7.3,19.6,24.8,111.2,25.3,48.0,34.0,1.72,-0.34,1.38,107.9,106.3,1.6,102.2,0.304,0.025,0.54,0.507,16.0,37.4,0.213,0.487,15.2,67.4,0.259,0,0,0,0,0
1985 Dallas Mavericks,242.1,88.8,0.489,5.4,0.343,83.4,0.498,28.3,0.793,13.4,28.6,26.2,7.0,4.1,14.4,21.9,111.2,25.0,44.0,38.0,2.17,-0.37,1.8,111.5,109.3,2.2,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,0,0,0,0,0
1985 Milwaukee Bucks,241.5,88.5,0.491,3.6,0.303,84.9,0.499,30.2,0.757,15.3,28.7,26.4,8.4,5.9,16.9,27.3,110.9,25.7,59.0,23.0,6.85,-0.16,6.69,110.5,103.6,6.9,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29,0,0,0,1,1
1985 Golden State Warriors,242.1,92.1,0.463,4.8,0.282,87.3,0.473,30.9,0.768,16.2,26.1,21.5,9.8,3.5,17.8,26.0,110.4,26.1,22.0,60.0,-7.34,0.13,-7.21,106.0,113.0,-7.0,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66.0,0.268,0,0,0,0,-1
1985 New Jersey Nets,240.9,90.8,0.49,2.7,0.232,88.1,0.498,27.3,0.729,15.0,28.4,26.4,9.4,5.1,16.5,24.5,109.5,26.5,42.0,40.0,0.23,0.41,0.64,107.9,107.7,0.2,101.1,0.3,0.03,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263,0,0,0,0,0
1985 Utah Jazz,240.9,89.0,0.476,3.7,0.336,85.3,0.482,29.7,0.772,13.2,31.1,26.1,8.7,8.5,19.2,23.9,109.0,27.0,41.0,41.0,-0.11,-0.22,-0.33,103.3,103.4,-0.1,105.1,0.333,0.042,0.534,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.238,0,1,0,0,1
1985 Chicago Bulls,241.5,84.3,0.5,2.0,0.18,82.3,0.507,30.8,0.784,13.1,28.9,24.3,7.6,5.7,17.8,25.3,108.7,25.2,38.0,44.0,-0.84,0.34,-0.5,108.7,109.6,-0.9,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,0,0,0,0,0
1985 Cleveland Cavaliers,241.2,89.8,0.471,4.1,0.287,85.7,0.48,30.4,0.749,14.7,29.8,25.6,7.6,5.8,16.9,26.5,108.6,26.6,36.0,46.0,-2.76,0.48,-2.27,106.0,108.7,-2.7,101.9,0.338,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,0,0,0,0,0
1985 Indiana Pacers,241.2,89.3,0.476,1.9,0.194,87.4,0.482,30.7,0.744,14.6,32.0,23.7,7.6,4.5,19.8,27.3,108.3,24.1,22.0,60.0,-6.21,0.75,-5.46,102.5,108.4,-5.9,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282,0,0,0,0,-1
1985 Phoenix Suns,241.5,87.1,0.491,3.7,0.283,83.4,0.5,27.8,0.771,12.5,29.6,28.5,8.9,4.3,19.3,24.8,108.0,26.4,36.0,46.0,-2.11,-0.23,-2.34,104.7,106.8,-2.1,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15.0,68.3,0.24,0,0,0,0,0
1985 Los Angeles Clippers,240.6,86.8,0.495,2.3,0.298,84.5,0.501,26.9,0.758,14.1,29.7,23.6,6.5,6.1,19.4,22.4,107.1,27.3,31.0,51.0,-4.49,-0.07,-4.55,105.8,110.2,-4.4,101.0,0.31,0.026,0.543,0.499,16.4,33.7,0.235,0.495,12.7,66.1,0.21,0,0,0,0,-1
1985 Atlanta Hawks,242.1,86.8,0.484,2.9,0.311,84.0,0.49,28.9,0.752,14.2,28.6,24.5,8.1,6.6,18.0,25.0,106.6,25.5,34.0,48.0,-1.45,0.31,-1.14,105.9,107.3,-1.4,99.8,0.333,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249,0,0,0,0,-1
1985 Washington Bullets,242.1,90.0,0.479,4.9,0.274,85.2,0.49,24.3,0.743,12.3,29.2,25.5,8.6,4.8,15.6,22.8,105.5,27.1,40.0,42.0,-0.27,0.42,0.15,104.3,104.6,-0.3,100.3,0.269,0.054,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226,0,0,0,0,0
1985 New York Knicks,241.8,86.6,0.484,2.4,0.258,84.2,0.49,28.7,0.726,13.6,25.6,24.4,9.2,3.3,17.8,29.2,105.2,25.8,24.0,58.0,-4.63,0.54,-4.09,104.9,109.6,-4.7,99.5,0.331,0.028,0.53,0.487,15.2,31.7,0.24,0.499,16.5,63.3,0.339,0,0,0,0,-1
1985 Seattle SuperSonics,240.3,84.3,0.474,2.3,0.243,82.0,0.481,28.1,0.771,12.4,27.9,26.6,7.9,4.2,18.2,24.1,102.1,26.4,31.0,51.0,-5.44,0.0,-5.44,102.8,108.2,-5.4,99.3,0.334,0.027,0.529,0.477,15.9,30.0,0.257,0.498,14.6,67.3,0.238,0,0,0,0,-1
1986 Los Angeles Lakers,241.8,89.5,0.522,5.0,0.337,84.6,0.533,28.4,0.778,13.4,31.2,29.7,8.5,5.1,17.9,24.8,117.3,28.1,62.0,20.0,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.317,0.056,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239,0,0,0,0,2
1986 Dallas Mavericks,241.5,88.5,0.501,5.4,0.316,83.0,0.513,32.2,0.776,12.9,29.9,25.7,7.4,4.5,15.7,21.1,115.3,25.8,44.0,38.0,1.1,-0.4,0.7,112.1,111.0,1.1,102.2,0.364,0.061,0.562,0.51,13.3,30.0,0.283,0.508,13.0,66.8,0.201,0,0,0,0,1
1986 Portland Trail Blazers,242.1,88.8,0.496,3.4,0.269,85.4,0.505,34.1,0.765,14.1,28.2,26.6,10.5,4.3,18.6,26.9,115.1,26.6,40.0,42.0,1.06,-0.45,0.61,109.2,108.2,1.0,104.5,0.384,0.038,0.554,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275,0,0,0,0,0
1986 Denver Nuggets,240.9,96.0,0.471,3.7,0.233,92.2,0.48,29.5,0.798,14.9,28.3,26.1,10.1,5.1,16.3,26.4,114.8,28.1,47.0,35.0,1.3,-0.42,0.89,107.1,105.9,1.2,106.7,0.307,0.039,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266,0,0,0,0,1
1986 Milwaukee Bucks,241.5,89.1,0.493,4.7,0.327,84.5,0.502,32.9,0.764,14.5,29.5,26.3,9.8,5.6,16.7,27.0,114.5,26.0,57.0,25.0,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.369,0.052,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,0,0,0,0,2
1986 Houston Rockets,240.9,93.5,0.49,3.8,0.274,89.8,0.499,29.7,0.73,16.0,29.7,28.3,9.1,6.7,16.8,24.3,114.4,26.0,51.0,31.0,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.232,0.497,14.8,67.2,0.243,0,0,0,0,3
1986 Detroit Pistons,241.2,94.5,0.484,2.2,0.302,92.3,0.489,28.0,0.783,15.6,30.0,28.3,9.0,4.1,16.4,25.6,114.2,26.5,46.0,36.0,1.17,0.27,1.44,109.0,107.9,1.1,104.2,0.297,0.023,0.534,0.488,13.3,33.5,0.232,0.496,14.9,67.6,0.266,0,0,0,0,0
1986 Boston Celtics,242.1,89.2,0.508,4.8,0.351,84.4,0.517,27.4,0.794,12.9,33.6,29.1,7.8,6.2,16.6,21.4,114.1,29.3,67.0,15.0,9.41,-0.36,9.06,111.8,102.6,9.2,101.2,0.307,0.054,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.216,1,0,1,0,4
1986 Golden State Warriors,241.2,92.3,0.482,3.4,0.313,88.9,0.489,30.7,0.76,15.5,28.6,24.6,9.2,4.3,17.1,24.8,113.4,26.8,30.0,52.0,-3.45,-0.14,-3.59,108.3,111.6,-3.3,104.2,0.333,0.037,0.536,0.488,13.9,33.5,0.253,0.524,14.9,66.7,0.241,0,0,0,0,-1
1986 San Antonio Spurs,241.5,86.6,0.506,2.4,0.235,84.2,0.514,30.8,0.746,13.0,29.4,27.6,9.8,4.8,19.8,25.8,111.2,27.8,35.0,47.0,-1.85,-0.2,-2.06,106.5,108.2,-1.7,103.8,0.355,0.028,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,0,1,0,0,0
1986 Philadelphia 76ers,242.7,86.1,0.487,2.7,0.228,83.3,0.495,34.3,0.758,16.2,29.0,24.6,10.5,6.0,19.5,21.9,110.4,28.0,54.0,28.0,2.35,0.11,2.46,108.6,106.3,2.3,100.5,0.398,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.211,0,0,0,0,1
1986 Phoenix Suns,241.5,85.3,0.503,2.2,0.208,83.0,0.511,32.7,0.726,12.6,29.9,27.7,9.4,4.6,21.5,27.6,110.0,26.3,32.0,50.0,-2.99,-0.17,-3.16,104.3,107.2,-2.9,104.8,0.384,0.026,0.552,0.506,17.7,31.3,0.279,0.495,15.1,68.3,0.279,0,0,0,0,-1
1986 Chicago Bulls,242.1,88.1,0.481,3.9,0.278,84.3,0.49,30.5,0.769,15.6,27.8,24.5,7.4,4.9,17.5,26.4,109.3,26.6,30.0,52.0,-3.8,0.69,-3.12,108.6,112.4,-3.8,99.7,0.346,0.044,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28,0,0,0,0,0
1986 New Jersey Nets,241.5,89.0,0.486,2.6,0.201,86.4,0.495,29.2,0.755,14.4,30.3,26.0,9.1,4.2,19.2,26.0,109.1,27.5,39.0,43.0,-1.99,0.6,-1.39,105.0,106.9,-1.9,103.3,0.328,0.029,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282,0,0,0,0,0
1986 Sacramento Kings,241.2,88.0,0.49,1.6,0.224,86.4,0.495,28.5,0.778,13.8,29.0,28.1,7.3,4.7,18.7,26.0,108.8,26.6,37.0,45.0,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,0.324,0.019,0.541,0.492,15.7,32.7,0.252,0.499,14.4,67.5,0.273,0,0,0,0,0
1986 Los Angeles Clippers,240.9,87.4,0.473,2.8,0.279,84.6,0.479,32.7,0.77,14.1,27.5,24.0,8.5,6.1,18.3,23.5,108.6,27.0,32.0,50.0,-6.93,0.1,-6.83,105.4,112.1,-6.7,102.7,0.374,0.032,0.534,0.477,15.3,32.0,0.288,0.512,14.0,64.0,0.225,0,0,0,0,-1
1986 Atlanta Hawks,241.5,85.7,0.49,2.0,0.199,83.7,0.497,33.0,0.732,15.2,29.3,24.7,9.0,5.3,18.1,26.5,108.6,25.3,50.0,32.0,2.37,0.22,2.59,107.9,105.6,2.3,100.0,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.481,15.4,66.7,0.269,0,0,0,1,1
1986 Utah Jazz,241.2,86.4,0.488,2.1,0.207,84.3,0.494,32.9,0.716,13.0,30.2,26.8,8.7,8.1,18.5,24.9,108.2,26.3,42.0,40.0,-0.37,-0.3,-0.67,104.2,104.6,-0.4,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.477,15.4,67.2,0.258,0,0,0,0,0
1986 Cleveland Cavaliers,241.2,88.3,0.48,4.8,0.338,83.5,0.489,28.4,0.752,13.2,29.9,25.2,7.6,5.3,17.2,27.6,107.8,27.0,29.0,53.0,-2.87,0.68,-2.19,105.5,108.3,-2.8,101.6,0.321,0.054,0.535,0.49,14.6,30.3,0.241,0.48,13.6,68.5,0.292,0,0,0,0,-1
1986 Seattle SuperSonics,243.0,86.1,0.472,3.7,0.263,82.4,0.482,28.4,0.779,14.0,27.5,24.1,9.1,3.6,17.5,26.4,104.4,26.6,31.0,51.0,-0.1,-0.37,-0.47,105.9,106.0,-0.1,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.492,15.7,68.7,0.282,0,0,0,0,-1
1986 Indiana Pacers,240.9,87.2,0.481,1.7,0.161,85.5,0.488,26.6,0.739,13.9,31.9,26.3,8.0,4.6,18.5,26.0,103.9,25.0,26.0,56.0,-3.33,0.67,-2.66,102.6,105.9,-3.3,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.277,0,0,0,0,-1
1986 Washington Bullets,242.1,87.2,0.463,5.0,0.284,82.2,0.474,27.9,0.745,13.0,29.7,21.3,7.6,8.7,16.4,21.9,103.0,27.1,39.0,43.0,-1.8,0.53,-1.28,103.0,104.8,-1.8,99.1,0.32,0.057,0.518,0.471,14.2,29.1,0.238,0.472,14.2,66.1,0.224,0,0,0,0,0
1986 New York Knicks,241.5,85.8,0.46,2.9,0.343,82.9,0.465,27.3,0.686,13.2,26.5,22.9,8.7,3.8,17.5,27.0,98.7,25.5,23.0,59.0,-5.61,0.79,-4.82,99.5,105.2,-5.7,98.6,0.318,0.034,0.505,0.466,15.2,29.5,0.218,0.484,17.1,65.0,0.315,0,0,0,0,-1
1987 Portland Trail Blazers,241.5,88.4,0.504,4.1,0.289,84.3,0.514,35.7,0.775,14.4,29.4,28.8,9.4,4.7,18.9,25.4,117.9,26.9,49.0,33.0,3.13,-0.57,2.57,111.5,108.6,2.9,105.0,0.404,0.047,0.566,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.265,0,0,0,1,0
1987 Los Angeles Lakers,240.6,88.4,0.516,5.5,0.367,82.9,0.526,31.1,0.789,13.7,30.7,29.6,8.9,5.9,16.6,22.6,117.8,27.8,65.0,17.0,9.3,-0.99,8.32,115.6,106.5,9.1,101.6,0.352,0.062,0.577,0.528,14.0,34.1,0.278,0.476,13.8,66.3,0.23,1,1,0,0,4
1987 Dallas Mavericks,242.4,89.9,0.487,8.0,0.354,82.0,0.5,33.1,0.791,14.9,30.4,24.6,8.4,5.2,14.7,22.8,116.7,26.4,55.0,27.0,6.3,-0.77,5.54,114.9,108.7,6.2,100.5,0.369,0.089,0.558,0.503,12.3,33.8,0.291,0.486,13.5,66.5,0.233,0,0,0,0,0
1987 Denver Nuggets,241.2,97.0,0.471,4.8,0.271,92.2,0.481,31.3,0.769,15.8,28.9,28.3,9.2,5.1,14.8,26.6,116.7,28.2,37.0,45.0,-0.87,-0.28,-1.14,109.3,110.2,-0.9,106.2,0.323,0.049,0.527,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307,0,0,0,0,0
1987 Seattle SuperSonics,242.1,90.9,0.482,7.0,0.335,83.9,0.494,31.4,0.758,16.7,29.2,26.6,8.6,5.5,18.4,27.1,113.7,26.1,39.0,43.0,0.46,-0.39,0.08,110.7,110.3,0.4,101.8,0.345,0.077,0.543,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.296,0,0,0,0,2
1987 Boston Celtics,241.5,86.0,0.517,6.9,0.366,79.1,0.53,26.3,0.808,11.4,31.5,29.5,6.8,6.4,15.9,20.9,112.6,29.4,59.0,23.0,6.65,-0.08,6.57,113.5,106.8,6.7,98.6,0.305,0.08,0.577,0.532,14.0,29.0,0.247,0.471,12.0,67.6,0.217,0,0,0,0,3
1987 Golden State Warriors,242.7,90.4,0.479,4.4,0.319,86.0,0.487,30.8,0.78,14.5,28.7,25.4,8.7,3.9,16.5,26.1,112.0,26.9,42.0,40.0,-2.34,-0.2,-2.54,108.9,111.2,-2.3,101.7,0.341,0.049,0.539,0.487,13.7,32.5,0.266,0.503,14.2,65.3,0.272,0,0,0,0,1
1987 Detroit Pistons,241.8,88.3,0.49,2.1,0.231,86.2,0.496,31.7,0.765,15.2,32.3,24.6,7.8,5.3,17.3,25.3,111.2,26.8,52.0,30.0,3.44,0.07,3.51,109.2,105.8,3.4,101.0,0.36,0.023,0.544,0.492,14.5,34.7,0.275,0.471,13.3,69.9,0.267,0,0,0,0,2
